Date,MarketPrice,Simulated_1Y_RollingVol,Simulated_2Y_RollingVol
2024-06-14,960.54,893.7192854468507,932.7492546476906
2024-06-17,965.5,919.1537259914368,931.11796332309
2024-06-18,966.78,936.3374905844892,935.6509699899095
2024-06-19,969.71,922.9193288891731,915.0449246295564
2024-06-20,972.03,958.694539869266,957.6443442576424
2024-06-21,966.09,943.2084595522344,944.6321614745527
2024-06-24,973.6,932.849992833376,931.7125371677954
2024-06-25,968.03,949.6712169018627,956.2254598804938
2024-06-26,967.47,964.4830657426625,943.1140899111831
2024-06-27,973.99,956.6295338482583,966.3274662255307
2024-06-28,975.88,964.026046524548,955.386592853829
2024-07-01,980.95,953.1175536697372,953.87539839197
2024-07-02,974.26,960.967661093605,945.8125407731765
2024-07-03,977.44,956.5215481457985,973.0781889993995
2024-07-04,978.3,976.7408945824683,976.7306328452183
2024-07-05,976.41,964.0880583678367,974.863424556807
2024-07-08,973.98,974.238865625491,987.5766463399535
2024-07-09,961.86,945.9071480734976,958.5971740866415
2024-07-10,974.41,950.577463100559,968.5122469337241
2024-07-11,980.27,967.1461263678663,953.6304202717619
2024-07-12,987.65,970.6585528412769,971.8425168149093
2024-07-15,978.93,970.2506315754237,961.6831042328528
2024-07-16,978.17,964.6626090867979,963.9283066649627
2024-07-17,972.35,969.01566396502,964.612434057722
2024-07-18,956.36,917.396473985947,927.2253882702818
2024-07-19,955.33,943.8398193870003,942.9181174331005
2024-07-22,956.88,933.9554159689496,947.054461616395
2024-07-23,957.82,928.8985691109638,939.1555360138558
2024-07-24,946.64,944.4237057974574,935.0563506502987
2024-07-25,943.89,946.3104760931365,938.2796807795899
2024-07-26,942.6,937.7374299846397,948.0183109438204
2024-07-29,935.46,930.049231061076,928.590653106007
2024-07-30,936.88,938.9958857676438,932.2371879580286
2024-07-31,939.64,944.7693805458846,937.8861863443573
2024-08-01,925.93,922.4829097592944,936.7432211210685
2024-08-02,904.14,891.322653700201,882.9625359843621
2024-08-05,899.05,893.9561212329373,909.2278198779946
2024-08-06,898.9,892.9767984061332,898.8248554836133
2024-08-07,894.65,872.6605257981132,891.65707210859
2024-08-08,911.82,905.4428958955593,908.8355747936373
2024-08-09,903.41,912.5561299918096,889.2915792196628
2024-08-12,905.97,898.571225695059,905.4803567846474
2024-08-13,910.22,904.5113431512274,906.3188627560135
2024-08-14,915.99,880.7523587476977,913.401421498619
2024-08-15,924.9,905.5458040491554,945.7218674987473
2024-08-16,927.73,909.0470266068036,900.9850797592017
2024-08-19,930.73,916.4563310105051,931.4240828440328
2024-08-20,928.14,950.9768090901671,930.4415313952128
2024-08-21,931.57,961.5269578611949,921.1277845141428
2024-08-22,937.47,927.4428780509904,908.862656099733
2024-08-23,941.71,940.4656386659029,950.6935300840023
2024-08-26,942.45,934.4437232406843,952.9216461276733
2024-08-27,943.89,952.1696057536938,928.5147014366065
2024-08-28,946.25,946.7016468303232,949.9623191882557
2024-08-29,948.04,945.9201132849689,958.5859434466515
2024-08-30,950.56,948.6993999636164,968.584818835242
2024-09-02,951.27,953.4566199014766,955.9947587058368
2024-09-03,946.34,945.0813138610741,936.6948870202202
2024-09-04,942.3,944.9337572215788,945.223560820974
2024-09-05,937.35,937.5129159822646,964.2335076600295
2024-09-06,929.03,933.9266801336339,940.2811189037923
2024-09-09,931.52,940.7486823072204,925.8130147752156
2024-09-10,931.34,956.7843842326505,935.9506692561168
2024-09-11,930.03,942.2951598495792,957.3882971223194
2024-09-12,937.15,951.4101583325536,960.9857501401716
2024-09-13,942.06,961.7226681516073,976.1017543948751
2024-09-16,939.89,955.2951655754333,956.6892644577667
2024-09-17,948.97,986.5417244339704,961.1927823583488
2024-09-18,948.73,955.5265619660137,957.1822494529152
2024-09-19,959.09,962.1813169121517,951.784787343142
2024-09-20,951.61,925.8293565091305,972.4776339217834
2024-09-23,957.23,931.8048237465295,966.4334029682567
2024-09-24,961.94,970.3672407415686,960.9678746112061
2024-09-25,967.35,951.9207334036117,953.193690113796
2024-09-26,975.72,971.0583375618196,986.1377036629713
2024-09-27,976.03,993.8150263621905,968.6015097099673
2024-09-30,976.59,977.7503306608572,971.506232294124
2024-10-01,970.74,962.3420438646659,972.1870972423326
2024-10-02,974.16,981.0167684548775,980.1505034983838
2024-10-03,970.01,986.7561762414347,968.3505442871249
2024-10-04,975.44,983.3573606939409,995.9014101463749
2024-10-07,977.02,982.5195949156763,979.0450264525134
2024-10-08,972.36,963.767763251812,980.3805829444568
2024-10-09,978.55,978.1214861739329,982.1790607654946
2024-10-10,975.45,991.5411372283321,972.0911768611604
2024-10-11,977.42,965.8157829527165,977.7397396257717
2024-10-14,976.3,986.1449572032043,979.0231305600221
2024-10-15,974.92,977.7273364089946,965.6838730333697
2024-10-16,971.99,992.1469466318314,984.9373968376084
2024-10-17,976.42,973.3005472708691,981.0402464147699
