Date,MarketPrice,Simulated_1Y_FixedVol,Simulated_2Y_FixedVol
2024-05-17,982.92,915.1469308623878,947.7339224590454
2024-05-20,982.09,919.6921095516786,951.1947486513789
2024-05-21,984.82,926.0937147036607,956.2166432791261
2024-05-22,983.44,897.9567999599313,937.6123308787767
2024-05-23,988.59,908.7543306453477,951.9161266286554
2024-05-24,987.65,897.244633910627,967.6393667035354
2024-05-27,991.31,923.3338596397654,937.4139015539594
2024-05-28,989.58,894.217240900538,953.5797710202337
2024-05-29,986.53,895.1839883666928,935.3776700463453
2024-05-30,985.44,902.722702760282,944.3479812690133
2024-05-31,985.17,904.1279903598383,944.7017777219428
2024-06-03,988.6,907.3331789966819,950.6549086640549
2024-06-04,983.63,916.1896071181686,926.0920491474465
2024-06-05,991.81,922.6922916260806,967.32219051606
2024-06-06,982.99,908.262978517332,923.5420343892109
2024-06-07,979.14,907.5897056446296,944.8993116432109
2024-06-10,979.25,893.6996620657692,927.4375846247885
2024-06-11,976.28,899.9493352828766,924.6601756320198
2024-06-12,985.85,900.1426330307818,936.3883907067745
2024-06-13,971.58,892.0495216819186,938.9183011522865
2024-06-14,960.54,889.5925148450779,893.566709946438
2024-06-17,965.5,908.5947027030087,919.2483808235479
2024-06-18,966.78,893.511837769954,931.5139842497335
2024-06-19,969.71,892.9972614199123,936.8662013324688
2024-06-20,972.03,920.5666722537181,918.7317010427072
2024-06-21,966.09,892.2258474230871,916.9683963745856
2024-06-24,973.6,892.3338100684963,927.7551644884444
2024-06-25,968.03,874.0984947297216,931.8059256250262
2024-06-26,967.47,905.5104519052311,917.951851368205
2024-06-27,973.99,905.1193864298389,956.9817535887379
2024-06-28,975.88,897.199496942736,932.9989619364832
2024-07-01,980.95,917.940738890629,970.467278894133
2024-07-02,974.26,905.2902025960511,955.1137722597978
2024-07-03,977.44,914.3664398950606,942.4946339017437
2024-07-04,978.3,938.3767883086081,946.4718542844068
2024-07-05,976.41,924.2636244495036,933.5750104507357
2024-07-08,973.98,916.1936697892866,941.35583841271
2024-07-09,961.86,891.6500048465538,947.4287428104612
2024-07-10,974.41,916.2036406666726,958.6682026095865
2024-07-11,980.27,898.0604399505253,940.7462505458784
2024-07-12,987.65,931.6068366267216,964.4764146308445
2024-07-15,978.93,926.0629669572669,957.9929106248961
2024-07-16,978.17,914.1294666239176,949.7802881059605
2024-07-17,972.35,929.8530649188455,937.2851642021018
2024-07-18,956.36,909.2864627996587,919.4219023789079
2024-07-19,955.33,886.6737193176864,930.4990666317511
2024-07-22,956.88,904.8293045374616,942.3231304306546
2024-07-23,957.82,891.0360607441431,939.208847251273
2024-07-24,946.64,909.7490940986365,944.8348488834042
2024-07-25,943.89,887.1071888656908,935.3166613491452
2024-07-26,942.6,883.2682777462921,912.6458341394393
2024-07-29,935.46,898.2183414475411,910.0036221068664
2024-07-30,936.88,897.373470485657,937.7780207304945
2024-07-31,939.64,867.4484928609545,920.0342949058158
2024-08-01,925.93,891.316539921,931.4042041612175
2024-08-02,904.14,864.1765084184727,906.1347052047137
2024-08-05,899.05,893.2412926936782,876.7921989553836
2024-08-06,898.9,846.405022673072,887.5195293391249
2024-08-07,894.65,857.900741132618,903.2701458029286
2024-08-08,911.82,856.2457302420161,893.659247516938
2024-08-09,903.41,859.540750797187,912.3272877045055
2024-08-12,905.97,877.6360147575076,893.9291116148622
2024-08-13,910.22,861.8991369416683,892.7837224526372
2024-08-14,915.99,867.145157427307,903.5029638383191
2024-08-15,924.9,881.7618708277123,903.9382254241735
2024-08-16,927.73,867.8896795656492,935.9305286274055
2024-08-19,930.73,878.072840602593,905.5599719875546
2024-08-20,928.14,891.599616932245,915.5044717581117
2024-08-21,931.57,888.9943298768407,913.0632984564587
2024-08-22,937.47,871.6719173258163,922.9004698529569
2024-08-23,941.71,878.0794014584408,941.6327906699842
2024-08-26,942.45,907.1142000241585,902.9689573533673
2024-08-27,943.89,900.1987615073535,938.6189283350191
2024-08-28,946.25,917.7456119629009,920.5187555503069
2024-08-29,948.04,900.0379243025096,922.6290794409354
2024-08-30,950.56,898.5498307321263,929.2574729033355
2024-09-02,951.27,887.084282412464,931.4957954319835
2024-09-03,946.34,878.0730637373296,913.0779301012379
2024-09-04,942.3,897.3111939175918,932.459830571478
2024-09-05,937.35,896.3465319394994,922.7264843126796
2024-09-06,929.03,878.2207404551476,892.8139224873356
2024-09-09,931.52,882.7140610891919,912.1560570973758
2024-09-10,931.34,864.4453372923264,908.9877415520638
2024-09-11,930.03,857.6808653948748,907.3319831801268
2024-09-12,937.15,898.4725909171661,896.2898816428674
2024-09-13,942.06,885.1764546400894,908.9901813409837
2024-09-16,939.89,886.3493189224947,909.2229097433861
2024-09-17,948.97,868.600607317281,903.9777210751279
2024-09-18,948.73,891.615180792578,920.2564573939561
2024-09-19,959.09,884.5537859383514,935.8794237075597
2024-09-20,951.61,897.7952580021854,923.6141527492621
2024-09-23,957.23,897.9935569453759,941.1455723660185
2024-09-24,961.94,912.4366128798666,941.1316397482462
2024-09-25,967.35,904.2230259067392,929.262424178183
2024-09-26,975.72,906.3974333794604,943.6381455760093
2024-09-27,976.03,921.3275479476482,956.062869041301
2024-09-30,976.59,928.3427198734614,944.6803518048371
2024-10-01,970.74,922.1995316530873,940.4920353468183
2024-10-02,974.16,922.7556128953828,954.9458192407807
2024-10-03,970.01,923.7408669137416,935.1349489184519
2024-10-04,975.44,942.8936440841055,970.029563122288
2024-10-07,977.02,949.6185091769262,959.6309600941731
2024-10-08,972.36,915.6626513227015,952.8161131770431
